customer_id,first_name,last_name,genre_name,purchases
1,LuÃ­s,GonÃ§alves,Rock,15
2,Leonie,KÃ¶hler,Rock,16
3,FranÃ§ois,Tremblay,Metal,12
4,BjÃ¸rn,Hansen,Metal,2
5,FrantiÅ¡ek,WichterlovÃ¡,Rock,4
6,Helena,HolÃ½,Rock,10
7,Astrid,Gruber,Rock,6
8,Daan,Peeters,Rock,5
9,Kara,Nielsen,Rock,6
10,Eduardo,Martins,Metal,4
11,Alexandre,Rocha,Latin,2
12,Roberto,Almeida,Rock,4
12,Roberto,Almeida,Metal,4
13,Fernanda,Ramos,Jazz,14
14,Mark,Philips,Rock,2
15,Jennifer,Peterson,Rock,19
16,Frank,Harris,Rock,3
17,Jack,Smith,Rock,5
18,Michelle,Brooks,Metal,2
19,Tim,Goyer,Rock,4
20,Dan,Miller,Rock,6
21,Kathy,Chase,Rock,13
22,Heather,Leacock,Rock,2
23,John,Gordon,Metal,2
24,Frank,Ralston,Rock,10
25,Victor,Stevens,Rock,14
26,Richard,Cunningham,Rock,4
27,Patrick,Gray,Rock,4
28,Julia,Barnett,Rock,4
29,Robert,Brown,Rock,1
30,Edward,Francis,Rock,19
31,Martha,Silk,Rock,5
32,Aaron,Mitchell,Rock,4
33,Ellie,Sullivan,Rock,2
33,Ellie,Sullivan,Metal,2
34,JoÃ£o,Fernandes,Rock,16
35,Madalena,Sampaio,Rock,7
36,Hannah,Schneider,Rock,5
37,Fynn,Zimmermann,"Alternative & Punk",1
37,Fynn,Zimmermann,Rock,1
38,Niklas,SchrÃ¶der,Rock,6
39,Camille,Bernard,Metal,3
39,Camille,Bernard,Rock,3
40,Dominique,Lefebvre,Metal,5
41,Marc,Dubois,Rock,3
42,Wyatt,Girard,Rock,10
43,Isabelle,Mercier,Rock,9
44,Terhi,HÃ¤mÃ¤lÃ¤inen,Rock,6
45,Ladislav,KovÃ¡cs,Rock,4
46,Hugh,O'Reilly,Rock,2
47,Lucas,Mancini,Rock,3
48,Johannes,"Van der Berg",Rock,6
49,StanisÅ‚aw,WÃ³jcik,Rock,14
50,Enrique,MuÃ±oz,Metal,4
51,Joakim,Johansson,Rock,5
52,Emma,Jones,Rock,14
53,Phil,Hughes,Rock,12
54,Steve,Murray,Rock,21
55,Mark,Taylor,Rock,18
56,Diego,GutiÃ©rrez,Rock,1
57,Luis,Rojas,Rock,7
58,Manoj,Pareek,Rock,5
59,Rishabh,Mishra,Rock,8
